line,name,lon,lat,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831
1호선,시청,126.9768616,37.5657037,13396,9035,41519,43685,43204,44973,45532,15854,8886,43536,44799,46373,45183,42656,33318,10369,12048,41528,40400,38534,37176,9933,6446,36993,37518,36889,34914,35764,9224,5697,35936
2호선,신답,127.04733,37.5703,748,540,1432,1476,1521,1642,1658,914,531,1511,1611,1661,1542,1533,748,628,855,1466,1428,1366,1380,629,475,1380,1333,1346,1259,1318,601,376,1270
2호선,신당,127.0196049,37.5656465,8703,5688,11830,12650,12847,13300,14293,9979,5664,12565,12728,13360,13060,13172,8159,6829,8772,12447,12198,12051,12094,7434,5254,11691,11767,11563,10754,11808,7049,4637,11155
2호선,신대방,126.913282,37.487519,16814,12048,23492,24969,25261,26252,27651,18510,12159,25944,26251,27259,26589,26750,16198,13745,16313,25080,24574,24103,24097,14925,10597,23104,23443,22728,21426,22941,13441,9714,21999
2호선,신도림,126.8912061,37.5088099,34137,22320,44877,47181,49005,49730,53976,40745,23971,48155,49355,52851,51758,52251,34142,26450,29254,46021,44799,43652,43963,26633,17357,41497,40484,40703,38157,41481,23671,15182,38245
2호선,신림,126.9296988,37.4842107,43391,29882,57598,60430,61054,62790,66271,47855,29999,62207,62993,65082,64221,65101,41008,33798,40508,59579,58478,57716,57859,35985,26224,54585,55580,53880,51002,54954,33752,22880,51058
1호선,신설동,127.0248495,37.575326,9775,6536,14392,15140,15042,16386,17112,11146,6250,16469,15687,16855,16641,16568,9219,8756,9262,15505,15251,14877,14949,8318,6676,14760,14479,14182,13148,14179,7716,5445,13553
4호선,신용산,126.967886,37.529187,7423,5483,14055,14489,15860,18122,18000,8651,5763,16225,16081,16435,16821,16501,7208,6112,7553,13907,12508,12342,12372,5237,3747,11927,10639,11880,11190,11363,4686,3455,11514
2호선,신정네거리,126.852813,37.52022,6061,3775,8517,8783,9039,9564,10103,6703,3700,9594,9621,10028,9781,9791,5538,4350,5672,9164,8899,8733,8621,5011,3009,8381,8371,7956,7501,8004,4413,2632,7745
2호선,신촌,126.9364998,37.5550592,26964,18632,31251,32695,33478,34722,37020,31035,19199,32846,34274,36352,35382,36636,25270,20853,25567,30954,27426,26834,26836,18476,12586,24502,25703,24905,22466,25512,16858,11200,21574
